player,total_runs_innings_1,total_wickets_innings_1,matches_played_innings_1,total_runs_innings_2,total_wickets_innings_2,matches_played_innings_2
A Athanaze,59.0,,4.0,109.0,1.0,5.0
A Dananjaya,75.0,9.0,21.0,136.0,15.0,18.0
A Flintoff,557.0,50.0,42.0,570.0,18.0,38.0
A Flower,62.0,,1.0,60.0,,2.0
A Kumble,21.0,5.0,8.0,13.0,8.0,13.0
A Maregwede,6.0,,3.0,52.0,,3.0
A Martin,2.0,2.0,3.0,,7.0,2.0
A McGrath,108.0,1.0,6.0,17.0,1.0,4.0
A Mishra,10.0,31.0,17.0,20.0,13.0,9.0
A Mithun,,1.0,2.0,27.0,2.0,4.0
A Nehra,25.0,46.0,33.0,47.0,32.0,33.0
A Nel,89.0,21.0,18.0,15.0,19.0,18.0
A Nortje,9.0,4.0,5.0,10.0,15.0,6.0
A Phillip,21.0,0.0,2.0,,0.0,1.0
A Shahzad,8.0,,2.0,,5.0,4.0
A Symonds,1382.0,23.0,72.0,859.0,31.0,59.0
A Zampa,134.0,47.0,42.0,50.0,61.0,42.0
AA Donald,,0.0,1.0,,,
AAP Atkinson,4.0,4.0,3.0,35.0,3.0,4.0
AB Agarkar,103.0,44.0,36.0,64.0,33.0,29.0
AB Barath,97.0,,4.0,82.0,,4.0
AB Dinda,16.0,9.0,5.0,3.0,3.0,5.0
AB de Villiers,2946.0,1.0,60.0,2559.0,2.0,61.0
AC Agar,97.0,5.0,14.0,149.0,4.0,12.0
AC Dawson,,1.0,1.0,23.0,1.0,2.0
AC Gilchrist,1221.0,,33.0,1355.0,,36.0
AC Voges,257.0,0.0,12.0,172.0,4.0,11.0
AD Hales,1114.0,,23.0,608.0,,15.0
AD Mascarenhas,36.0,4.0,6.0,19.0,3.0,6.0
AD Mathews,2102.0,33.0,114.0,1509.0,35.0,93.0
AD Russell,335.0,20.0,31.0,256.0,21.0,30.0
ADS Fletcher,114.0,,8.0,133.0,0.0,12.0
AF Giles,108.0,10.0,17.0,19.0,8.0,9.0
AF Milne,102.0,20.0,21.0,13.0,15.0,18.0
AG Cremer,167.0,19.0,33.0,177.0,15.0,33.0
AG Prince,102.0,,5.0,193.0,0.0,10.0
AG Wharf,3.0,3.0,3.0,,6.0,3.0
AGR Loudon,,,,,0.0,1.0
AJ Bichel,65.0,17.0,13.0,43.0,6.0,11.0
AJ Finch,2033.0,1.0,59.0,937.0,1.0,45.0
AJ Hall,120.0,30.0,23.0,107.0,13.0,18.0
AJ Hosein,40.0,14.0,17.0,69.0,8.0,12.0
AJ Ireland,2.0,9.0,7.0,1.0,4.0,6.0
AJ McKay,6.0,12.0,9.0,0.0,5.0,8.0
AJ Redmond,53.0,,3.0,83.0,,2.0
AJ Stewart,139.0,,4.0,66.0,,3.0
AJ Strauss,973.0,,26.0,950.0,0.0,29.0
AJ Turner,25.0,,3.0,13.0,1.0,2.0
AJ Tye,27.0,10.0,5.0,23.0,2.0,5.0
AK Markram,522.0,8.0,27.0,526.0,3.0,26.0
AK Perera,7.0,0.0,2.0,1.0,0.0,2.0
AL Phehlukwayo,250.0,33.0,40.0,278.0,21.0,29.0
AM Bacher,56.0,,1.0,,0.0,1.0
AM Blignaut,107.0,18.0,19.0,88.0,3.0,14.0
AM Ellis,95.0,1.0,8.0,13.0,6.0,8.0
AM Fernando,,3.0,1.0,,1.0,3.0
AM Hardie,66.0,0.0,5.0,2.0,5.0,5.0
AM Nayar,,0.0,1.0,0.0,,1.0
AM Phangiso,6.0,5.0,9.0,23.0,11.0,9.0
AM Rahane,833.0,,24.0,864.0,,26.0
AN Cook,733.0,,23.0,820.0,,27.0
AN Petersen,213.0,,7.0,91.0,,5.0
AP Devcich,90.0,0.0,5.0,19.0,2.0,6.0
AR Adams,68.0,7.0,9.0,19.0,5.0,7.0
AR Caddick,21.0,8.0,7.0,31.0,9.0,7.0
AR Nurse,113.0,9.0,20.0,206.0,10.0,20.0
AR Patel,160.0,28.0,36.0,312.0,22.0,29.0
AS Joseph,68.0,45.0,32.0,141.0,21.0,27.0
AT Carey,742.0,,28.0,361.0,,13.0
AT Rayudu,555.0,0.0,16.0,512.0,1.0,19.0
AU Rashid,326.0,56.0,57.0,207.0,63.0,56.0
Aamer Yamin,1.0,,1.0,,0.0,1.0
Abdul Razzaq,839.0,43.0,76.0,780.0,41.0,71.0
Abdullah Shafique,28.0,,2.0,139.0,,3.0
Abdur Rauf,,8.0,3.0,,,
Abdur Razzak,170.0,62.0,54.0,203.0,29.0,53.0
Abdur Rehman,83.0,7.0,16.0,26.0,14.0,14.0
Abid Ali,21.0,,1.0,139.0,,3.0
Abu Jayed,,0.0,1.0,,,
Abul Hasan,8.0,0.0,4.0,,0.0,4.0
Adnan Akmal,62.0,,4.0,,,
Afif Hossain,296.0,0.0,10.0,62.0,1.0,8.0
Aftab Ahmed,231.0,4.0,20.0,236.0,0.0,18.0
Agha Salman,89.0,0.0,7.0,125.0,2.0,7.0
Ahmed Shehzad,715.0,1.0,24.0,794.0,1.0,26.0
Aizaz Cheema,7.0,9.0,7.0,6.0,8.0,7.0
Akram Khan,13.0,,1.0,,,
Al Sahariar,8.0,,1.0,,,
Al-Amin Hossain,1.0,6.0,4.0,0.0,13.0,8.0
Alok Kapali,209.0,7.0,17.0,227.0,0.0,13.0
Anamul Haque,744.0,,19.0,139.0,,11.0
Anwar Ali,37.0,6.0,10.0,66.0,4.0,9.0
Arafat Sunny,25.0,4.0,9.0,14.0,14.0,9.0
Arshad Khan,,3.0,3.0,14.0,3.0,5.0
Arshdeep Singh,25.0,7.0,4.0,3.0,5.0,4.0
Asad Ali,,1.0,2.0,2.0,,1.0
Asad Shafiq,415.0,0.0,16.0,371.0,,18.0
Asif Ali,227.0,,7.0,130.0,0.0,7.0
Avesh Khan,10.0,4.0,5.0,13.0,5.0,5.0
Azhar Ali,765.0,2.0,21.0,418.0,0.0,21.0
Azhar Mahmood,78.0,3.0,8.0,20.0,3.0,8.0
B Evans,47.0,8.0,6.0,30.0,0.0,5.0
B Fernando,2.0,,1.0,,2.0,2.0
B Geeves,,1.0,1.0,10.0,,1.0
B Kumar,132.0,61.0,58.0,160.0,53.0,50.0
B Laughlin,1.0,1.0,2.0,,2.0,3.0
B Lee,327.0,77.0,70.0,239.0,96.0,60.0
B Mavuta,23.0,1.0,3.0,20.0,2.0,3.0
B Muzarabani,33.0,7.0,13.0,10.0,11.0,14.0
B Sai Sudharsan,72.0,,2.0,55.0,0.0,2.0
B Stanlake,2.0,1.0,5.0,1.0,6.0,5.0
BA Carse,99.0,4.0,10.0,40.0,8.0,10.0
BA King,191.0,,12.0,229.0,,6.0
BA Murphy,1.0,1.0,2.0,2.0,1.0,2.0
BA Parchment,19.0,,1.0,33.0,,2.0
BA Stokes,1109.0,23.0,58.0,947.0,20.0,56.0
BA Williams,0.0,21.0,10.0,3.0,11.0,10.0
BAW Mendis,62.0,54.0,43.0,37.0,43.0,40.0
BB Chari,26.0,,2.0,20.0,,3.0
BB McCullum,1903.0,,63.0,1348.0,,52.0
BB Sran,,4.0,3.0,,4.0,2.0
BC Fortuin,,4.0,2.0,1.0,,1.0
BC Lara,466.0,,13.0,670.0,,21.0
BCJ Cutting,53.0,3.0,3.0,,2.0,3.0
BE Hendricks,2.0,7.0,5.0,19.0,0.0,3.0
BG Lister,,1.0,2.0,6.0,,2.0
BG Rogers,34.0,1.0,2.0,55.0,0.0,3.0
BJ Dwarshuis,,1.0,1.0,,,
BJ Haddin,1047.0,,42.0,710.0,,25.0
BJ Hodge,153.0,0.0,7.0,122.0,0.0,6.0
BJ Watling,82.0,,4.0,28.0,,5.0
BKG Mendis,948.0,,35.0,682.0,0.0,30.0
BM Duckett,258.0,,6.0,98.0,,4.0
BM Tickner,8.0,0.0,4.0,6.0,3.0,4.0
BM Wheeler,,4.0,2.0,3.0,2.0,2.0
BMAJ Mendis,167.0,9.0,31.0,203.0,8.0,25.0
BOP Fernando,2.0,,1.0,32.0,,2.0
BR Dorey,2.0,1.0,3.0,,1.0,1.0
BR McDermott,159.0,,3.0,,,
BRM Taylor,1565.0,2.0,56.0,1737.0,2.0,57.0
BV Vitori,12.0,25.0,14.0,31.0,5.0,10.0
BW Hilfenhaus,7.0,4.0,7.0,17.0,21.0,17.0
Babar Azam,1682.0,,28.0,1706.0,,39.0
Bazid Khan,78.0,0.0,3.0,51.0,,2.0
Bilal Asif,,0.0,1.0,2.0,,1.0
Bilawal Bhatti,2.0,0.0,4.0,9.0,4.0,6.0
C Green,186.0,9.0,17.0,108.0,3.0,12.0
C Gunasekara,,0.0,1.0,,,
C Hemraj,33.0,,3.0,17.0,0.0,3.0
C Jonker,,,,6.0,,1.0
C Karunaratne,233.0,9.0,13.0,50.0,6.0,13.0
C Kieswetter,199.0,,7.0,174.0,,7.0
C Madande,5.0,,1.0,24.0,,1.0
C Munro,412.0,4.0,26.0,378.0,4.0,17.0
C Overton,50.0,0.0,5.0,,3.0,4.0
C White,31.0,1.0,3.0,13.0,4.0,3.0
C Zhuwao,,,,35.0,,1.0
C de Grandhomme,219.0,7.0,26.0,263.0,8.0,23.0
CA Ingram,403.0,,12.0,97.0,0.0,5.0
CA Lynn,15.0,,1.0,0.0,,1.0
